seed,epoch,train_loss,val_acc
42,1,1.564200101,31.62508429
42,2,1.492290165,37.53652506
42,3,1.445238123,40.07642167
42,4,1.392018708,43.35805799
42,5,1.325890098,50.59563947
42,6,1.24215662,53.2928748
42,7,1.150779297,57.65340526
42,8,1.066711457,61.47448865
42,9,0.956206767,67.22859069
42,10,0.881084759,68.75702405
42,11,0.783099855,70.62261182
42,12,0.719906342,74.08406383
42,13,0.655934722,73.85929422
42,14,0.585696425,74.89323443
42,15,0.525689121,77.81523938
42,16,0.475820735,77.3432232
42,17,0.43105889,79.29871881
42,18,0.396371378,79.05147224
42,19,0.357093796,79.99550461
42,20,0.32494763,80.31018206
42,21,0.302274703,79.92807372
42,22,0.26870243,80.71476736
42,23,0.255613085,80.24275118
42,24,0.237873831,81.92852326
42,25,0.228764138,80.91706001
42,26,0.207392735,81.16430659
42,27,0.202559902,79.770735
42,28,0.192855624,80.71476736
42,29,0.134514628,82.44549337
42,30,0.114036297,82.78264779
52,1,1.556142531,34.83928973
52,2,1.484883608,38.14340301
52,3,1.447223636,39.08743538
52,4,1.391910263,45.38098449
52,5,1.317692407,49.11216004
52,6,1.245996428,52.03416498
52,7,1.156333481,59.74376264
52,8,1.062911348,63.16026073
52,9,0.95406731,68.12766914
52,10,0.845059711,71.20701281
52,11,0.762989869,72.66801528
52,12,0.680785173,73.79186334
52,13,0.611037006,76.35423691
52,14,0.554015351,77.0510227
52,15,0.492812625,77.79276242
52,16,0.448834197,78.28725556
52,17,0.402810849,78.89413351
52,18,0.375600404,80.51247471
52,19,0.331055508,79.68082715
52,20,0.312537153,79.52348842
52,21,0.282202387,81.05192178
52,22,0.272142311,82.01843111
52,23,0.246762221,80.75972129
52,24,0.223176423,82.06338503
52,25,0.216222886,80.60238256
52,26,0.212965158,81.95100022
52,27,0.189999355,81.95100022
52,28,0.183512786,80.80467521
52,29,0.139847268,82.78264779
52,30,0.115637099,83.20971005
62,1,1.560055627,34.50213531
62,2,1.490324462,38.39064958
62,3,1.436130052,40.05394471
62,4,1.383192046,45.088784
62,5,1.314212958,48.41537424
62,6,1.236492552,51.98921106
62,7,1.144500211,59.69880872
62,8,1.057834777,62.57585974
62,9,0.953476987,65.81254214
62,10,0.873220625,67.18363677
62,11,0.785179645,71.92627557
62,12,0.709771541,75.3202967
62,13,0.63280264,77.36570016
62,14,0.563384519,76.60148348
62,15,0.51873139,78.5569791
62,16,0.464299982,79.43358058
62,17,0.418310505,77.81523938
62,18,0.394824725,77.455608
62,19,0.353036104,80.51247471
62,20,0.324846003,80.62485952
62,21,0.299794348,81.02944482
62,22,0.27935046,81.34412227
62,23,0.257473909,79.79321196
62,24,0.247267213,80.40008991
62,25,0.233520052,80.78219825
62,26,0.213826108,82.76017082
62,27,0.212635923,80.91706001
62,28,0.195394188,81.72623061
62,29,0.186240488,81.29916835
62,30,0.173605915,81.92852326
72,1,1.55539034,34.32231962
72,2,1.491682735,37.35670937
72,3,1.450342085,38.23331086
72,4,1.39510994,43.40301191
72,5,1.330424369,46.23510901
72,6,1.264225118,48.59518993
72,7,1.190587909,56.32726455
72,8,1.100984769,59.09193077
72,9,1.014157245,61.85659699
72,10,0.923819581,65.04832547
72,11,0.819424872,65.94740391
72,12,0.743540773,72.71296921
72,13,0.671496321,75.56754327
72,14,0.59724424,75.29781973
72,15,0.535032257,76.03955945
72,16,0.494094001,76.6464374
72,17,0.438179408,78.75927175
72,18,0.402483843,78.91661047
72,19,0.371942093,78.08496291
72,20,0.336774875,79.59091931
72,21,0.304243687,79.70330411
72,22,0.283922381,79.90559676
72,23,0.271713193,80.64733648
72,24,0.249140988,81.81613846
72,25,0.23608455,80.15284334
72,26,0.228415529,79.61339627
72,27,0.206907553,81.34412227
72,28,0.199820259,80.91706001
72,29,0.136807143,83.0074174
72,30,0.114632303,82.69273994
82,1,1.559346143,33.28837941
82,2,1.50248774,36.77230838
82,3,1.464934122,37.67138683
82,4,1.418900734,40.3461452
82,5,1.370132688,45.78556979
82,6,1.30597836,48.21308159
82,7,1.243624832,51.69701056
82,8,1.152273815,56.9341425
82,9,1.053149181,61.47448865
82,10,0.967542397,63.94695437
82,11,0.867893377,67.70060688
82,12,0.781437788,68.57720836
82,13,0.698467961,72.8927849
82,14,0.634719954,75.79231288
82,15,0.562434078,75.36525062
82,16,0.511343144,77.23083839
82,17,0.461278614,77.83771634
82,18,0.415252851,79.27624185
82,19,0.379042674,80.51247471
82,20,0.336434291,79.8831198
82,21,0.317325127,78.84917959
82,22,0.288247301,79.68082715
82,23,0.258599473,79.68082715
82,24,0.183174651,82.06338503
82,25,0.157742777,82.3106316
82,26,0.150541015,82.37806249
82,27,0.139508994,82.93998651
82,28,0.138535487,82.42301641
82,29,0.1293861,82.62530906
82,30,0.126989852,83.0074174
